model,variant,acc,f1,roc_auc
logreg,real,0.970909,0.968254,0.999089
logreg,syn_base,0.872727,0.860558,0.951195
logreg,syn_ft,0.949091,0.941176,0.994321
logreg,mix_base,0.912727,0.904,0.986232
logreg,mix_ft,0.96,0.955102,0.997268
cat,real,0.992727,0.99187,1.0
cat,syn_base,0.832727,0.827068,0.934319
cat,syn_ft,0.916364,0.900433,0.958106
cat,mix_base,0.989091,0.987755,0.999732
cat,mix_ft,0.985455,0.983607,0.999304
xgb,real,0.996364,0.995918,1.0
xgb,syn_base,0.814545,0.811808,0.92848
xgb,syn_ft,0.912727,0.897436,0.957516
xgb,mix_base,0.985455,0.983871,0.999786
xgb,mix_ft,0.989091,0.987755,0.998661
