model,variant,acc,f1,roc_auc
logreg,real,0.902941,0.195122,0.767926
logreg,syn_base,0.652941,0.119403,0.385765
logreg,syn_ft,0.682353,0.239437,0.637159
logreg,mix_base,0.888235,0.0,0.571463
logreg,mix_ft,0.897059,0.285714,0.614235
cat,real,0.876471,0.086957,0.632113
cat,syn_base,0.852941,0.166667,0.518406
cat,syn_ft,0.888235,0.136364,0.596934
cat,mix_base,0.894118,0.142857,0.639514
cat,mix_ft,0.885294,0.204082,0.643647
xgb,real,0.879412,0.088889,0.632593
xgb,syn_base,0.605882,0.1625,0.518214
xgb,syn_ft,0.758824,0.12766,0.543589
xgb,mix_base,0.876471,0.086957,0.635861
xgb,mix_ft,0.888235,0.208333,0.64605
