model,variant,acc,f1,roc_auc
logreg,real,0.72,0.828221,0.633452
logreg,syn_base,0.635,0.745645,0.530476
logreg,syn_ft,0.72,0.830303,0.541667
logreg,mix_base,0.725,0.829721,0.586071
logreg,mix_ft,0.72,0.829268,0.594524
cat,real,0.66,0.773333,0.628929
cat,syn_base,0.565,0.678967,0.539881
cat,syn_ft,0.7,0.821429,0.582143
cat,mix_base,0.61,0.732877,0.575714
cat,mix_ft,0.675,0.789644,0.590476
xgb,real,0.645,0.760943,0.660714
xgb,syn_base,0.52,0.636364,0.496905
xgb,syn_ft,0.695,0.818991,0.589881
xgb,mix_base,0.635,0.752542,0.602619
xgb,mix_ft,0.66,0.774834,0.613452
