model,variant,acc,f1,roc_auc
logreg,real,0.77918,0.837963,0.820781
logreg,syn_base,0.732913,0.793496,0.76899
logreg,syn_ft,0.719243,0.791243,0.753948
logreg,mix_base,0.748686,0.812843,0.813905
logreg,mix_ft,0.742376,0.809635,0.797897
cat,real,0.851735,0.889064,0.914265
cat,syn_base,0.702419,0.756664,0.767496
cat,syn_ft,0.745531,0.810937,0.788405
cat,mix_base,0.835962,0.877934,0.885956
cat,mix_ft,0.838065,0.880805,0.890648
xgb,real,0.84858,0.886614,0.91032
xgb,syn_base,0.701367,0.755172,0.761794
xgb,syn_ft,0.750789,0.813826,0.796247
xgb,mix_base,0.831756,0.873817,0.884942
xgb,mix_ft,0.825447,0.870515,0.89403
