model,variant,acc,f1,roc_auc
logreg,real,0.720779,0.574257,0.813889
logreg,syn_base,0.649351,0.490566,0.673519
logreg,syn_ft,0.74026,0.574468,0.730556
logreg,mix_base,0.714286,0.576923,0.763889
logreg,mix_ft,0.727273,0.533333,0.778148
cat,real,0.746753,0.606061,0.767222
cat,syn_base,0.649351,0.490566,0.711852
cat,syn_ft,0.701299,0.439024,0.727222
cat,mix_base,0.733766,0.609524,0.78
cat,mix_ft,0.688312,0.5,0.746296
xgb,real,0.714286,0.592593,0.774074
xgb,syn_base,0.681818,0.505051,0.72463
xgb,syn_ft,0.707792,0.482759,0.715741
xgb,mix_base,0.75974,0.66055,0.770185
xgb,mix_ft,0.707792,0.554455,0.743148
